epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.698,1.79174,1.76802,1.06798,0.47769,0.18588,0.15466,0.08104,1.66799,1.25554,1.01759,0.000237762,0.000237762,0.000237762
2,254.548,1.69695,1.25522,1.04133,0.4557,0.20279,0.17804,0.09196,1.64117,1.15288,1.00965,0.000460062,0.000460062,0.000460062
3,379.26,1.67842,1.17719,1.03316,0.31035,0.19437,0.17676,0.08998,1.6285,1.10919,1.01228,0.000666654,0.000666654,0.000666654
4,500.85,1.6571,1.1289,1.02624,0.27782,0.22436,0.19635,0.10128,1.60264,1.07763,1.00322,0.000643314,0.000643314,0.000643314
5,594.189,1.63025,1.08909,1.01534,0.32252,0.22529,0.20997,0.10617,1.58304,1.04084,1.00003,0.000619752,0.000619752,0.000619752
6,686.261,1.62631,1.07254,1.01262,0.31921,0.23456,0.21756,0.10829,1.57019,1.00789,0.98644,0.00059619,0.00059619,0.00059619
7,778.289,1.60137,1.04762,1.00577,0.34665,0.25425,0.22745,0.11737,1.56913,0.99635,0.98863,0.000572628,0.000572628,0.000572628
8,870.663,1.59244,1.02901,1.00392,0.39321,0.25048,0.2372,0.12162,1.54186,0.96966,0.98155,0.000549066,0.000549066,0.000549066
9,962.61,1.57672,1.01535,0.99901,0.35764,0.25635,0.23871,0.12312,1.54221,0.96159,0.98301,0.000525504,0.000525504,0.000525504
10,1055.1,1.58277,1.00513,0.9934,0.37576,0.28095,0.25474,0.12867,1.54096,0.95034,0.97718,0.000501942,0.000501942,0.000501942
11,1151.03,1.55847,0.98447,0.99168,0.36814,0.26633,0.24619,0.12875,1.53076,0.95429,0.97709,0.00047838,0.00047838,0.00047838
12,1264.01,1.54905,0.97768,0.99066,0.41425,0.25679,0.25964,0.13482,1.52755,0.93436,0.97434,0.000454818,0.000454818,0.000454818
13,1383.28,1.54266,0.96239,0.98639,0.49381,0.28287,0.2639,0.13561,1.52625,0.92988,0.97294,0.000431256,0.000431256,0.000431256
14,1510.68,1.53828,0.96006,0.98595,0.51101,0.26113,0.25973,0.13639,1.50431,0.91739,0.96655,0.000407694,0.000407694,0.000407694
15,1636.85,1.53738,0.95269,0.98266,0.42174,0.28145,0.2719,0.14208,1.49987,0.91091,0.96765,0.000384132,0.000384132,0.000384132
16,1767.72,1.52546,0.94187,0.9793,0.39985,0.26826,0.27006,0.1417,1.50251,0.9034,0.96616,0.00036057,0.00036057,0.00036057
17,1895.47,1.52093,0.9415,0.97975,0.52502,0.28175,0.2801,0.1472,1.50204,0.89818,0.96423,0.000337008,0.000337008,0.000337008
18,2022.27,1.51558,0.92852,0.97624,0.4249,0.28626,0.27902,0.14621,1.49695,0.89465,0.9632,0.000313446,0.000313446,0.000313446
19,2149.01,1.50554,0.9212,0.9733,0.54719,0.28132,0.28238,0.14769,1.4918,0.89255,0.96078,0.000289884,0.000289884,0.000289884
20,2242.93,1.50215,0.91626,0.97215,0.51874,0.28254,0.28426,0.14928,1.48388,0.88216,0.96114,0.000266322,0.000266322,0.000266322
21,2381.26,1.51261,0.90666,0.97259,0.52324,0.28902,0.28159,0.14676,1.49362,0.8845,0.96392,0.00024276,0.00024276,0.00024276
22,2475.07,1.50244,0.89238,0.96776,0.54305,0.27739,0.2832,0.14934,1.49107,0.88304,0.9624,0.000219198,0.000219198,0.000219198
23,2567.2,1.49702,0.88452,0.96644,0.5321,0.29235,0.28879,0.15106,1.48351,0.87952,0.96004,0.000195636,0.000195636,0.000195636
24,2655.3,1.49356,0.87919,0.96418,0.50578,0.28641,0.28378,0.15058,1.4804,0.876,0.95917,0.000172074,0.000172074,0.000172074
25,2746.29,1.48299,0.86717,0.96263,0.54553,0.28722,0.28551,0.15234,1.47517,0.87033,0.95933,0.000148512,0.000148512,0.000148512
26,2836.16,1.47411,0.85935,0.95575,0.5532,0.28444,0.291,0.15403,1.47241,0.86712,0.95614,0.00012495,0.00012495,0.00012495
27,2924.07,1.47392,0.85709,0.95738,0.55639,0.27866,0.28805,0.15359,1.47157,0.86576,0.95608,0.000101388,0.000101388,0.000101388
28,3011.96,1.47175,0.85499,0.95719,0.51813,0.29891,0.28963,0.15528,1.4688,0.86039,0.9548,7.7826e-05,7.7826e-05,7.7826e-05
29,3101.13,1.46117,0.84408,0.95245,0.52957,0.29238,0.29407,0.15597,1.46698,0.85841,0.95356,5.4264e-05,5.4264e-05,5.4264e-05
30,3190.38,1.45649,0.83902,0.95058,0.55742,0.29299,0.29868,0.15979,1.46467,0.85346,0.95261,3.0702e-05,3.0702e-05,3.0702e-05
